tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
cost-20260827	cassandra-quorum	a	2	2	1	1000000	1024000000	1286935	642299	644636	0	122	10479.7						0	0	0	5	0	2	0	3260	0.0		4e-06	8e-06	0.0	0.5	326	10	0.0		190776	0	1218652	144	1180016	111572	1245433643	45630834	41.15	36.39	6.03e-05	1428480									0					0	0	0.3	0.2	172.5	0.0001344	32	120	0.0443	
cost-20260827	cassandra-quorum	a	4	4	1	1000000	1024000000	2724373	1362923	1361450	0	122	22097.2						0	0	0	5	0	2	0	3260	0.0		2e-06	4e-06	0.0	0.5	326	10	0.0		190776	0	1218556	96	1303976	235532	1245433643	45630834	86.08	81.2	6.14e-05	1423340									0					0	0	0.5	0.2	318.9	0.0001173	32	120	0.0819	
cost-20260827	cassandra-quorum	a	8	8	1	1000000	1024000000	5365368	2683775	2681593	0	122	43182.7						0	0	0	5	0	2	0	3260	0.0		1e-06	2e-06	0.0	0.455	296	11	0.0		190776	0	1218508	-19104	1532280	463836	1245433643	45630834	170.98	160.3	6.17e-05	1454848									0					0	0	1.0	0.2	660.8	0.0001234	32	130	0.1696	
cost-20260827-10g	cassandra-quorum	a	8	8	1	10000000	10240000000	5423823	2711397	2712426	0	122	43669.2						0	0	0	1	0	2	0	427	0.0		0.0	0.0	0.0	0.1	43	10	0.0		4	0	224	-144	11143864	469144	0		169.37	160.89	6.09e-05	1466368									0					0	0	0.0	0.2	630.3	0.0001162	32	120	0.1615	
cost-20260827	cassandra-quorum	c	8	8	1	1000000	1024000000	5588180	5588180	0	0	122	45388.6						0	0	0	5	0	2	0	3260	0.0		1e-06		0.0	0.5	326	10	0.0		190776	0	1218460	-144	1068520	76	1245433643	45630834	165.71	165.84	5.93e-05	1434368									0					0	0	0.8	0.2	647.7	0.0001161	32	130	0.1662	
cost-20260827-10g	cassandra-quorum	c	8	8	1	10000000	10240000000	5463168	5463168	0	0	122	44213.1						0	0	0	1	0	2	0	427	0.0		0.0		0.0	0.1	43	10	0.0		4	0	416	96	10674792	72	0		165.84	161.99	6e-05	1420540									0					0	0	0.0	0.2	627.4	0.0001149	32	120	0.1608	
local	cassandra-quorum	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	26	36706.5																																80.05	39.71	0.0001198	1105152									0					0	0								no_server_sample
local	cassandra-quorum	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	220	42826.2						0	0	0	0	0	0	0	0	0.0		0.0	0.0							4	0	224	-11800528	12715364	12714536			315.44	311.53	6.27e-05	1440512									0					0	0	0.0	3.6	1363.0	0.0001367	32	240	0.1941	
cost-20260827	cassandra-serial	a	8	8	1	1000000	1024000000	1648593	823857	824736	0	122	13288.9						0	0	0	5	0	2	0	3260	0.0		3e-06	6e-06	0.0	0.5	326	10	0.0		190776	0	1218460	-144	2186980	1118536	1245433643	45630834	94.59	56.11	9.14e-05	1074680									0					0	0	0.5	0.2	538.1	0.0003267	32	120	0.138	
cost-20260827	cassandra-serial	c	8	8	1	1000000	1024000000	2047115	2047115	0	0	122	16540.2						0	0	0	5	0	2	0	3260	0.0		2e-06		0.0	0.5	326	10	0.0		190776	0	1218652	96	1739028	670584	1245433643	45630834	89.81	66.46	7.63e-05	1325312									0					0	0	0.4	0.2	521.7	0.0002551	32	120	0.1338	
local	ozonedb-corfu	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	111	9416.8	0	0		536870912	0.524288																											636.88	218.94	0.0008558	3603216	7367	1532	8.2	0.8	8.0				4	3.5	22	35.2	287	1000839	0								no_server_sample
local	ozonedb-corfu	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	1063	9627.2	0	0		536870912	0.0524288	320370	564	508	1	408	2	34889801977	21108531674	0.03209		5.1e-05	5.1e-05	289.15	0.533	19023584	60	0.03003		174948	174912	12295108	10904816	1187840	0	12065322600	103987846	5049.78	1935.08	0.0006985	5009588	19807	4295	22.8	1.5	13.8				36	4.2	222	55.1	454	10013519	0	3258.1	615.2	0.0	0.0003873	32	1120	0.1139	
cost-20260827	ozonedb-corfu-linearizable-lru512m	a	8	8	1	1000000	1024000000	315522	157558	157964	0	120	2939.1	76329	135714	0.35997	536870912	0.524288	132251	153	8	5	6	2	267006008	8956076194	0.41963	0.9756	4.1e-05	8.2e-05	1167.47	0.117	76902916	60	0.39722	0.18465	88396	-102380	1532364	313904	1068968	0	1377997185	84329351	308.52	128.55	0.0013852	2830252	35641	1487	41.0	3.0	2.0	3.0	28.0	5.0	2	3.5	11	40.0	374	158066	0	175.8	173.5	0.0	0.0011069	32	120	0.091	
cost-20260827	ozonedb-corfu-linearizable-lru512m	c	8	8	1	1000000	1024000000	1201712	1201712	0	0	120	11007.7	727126	472236	0.60626	536870912	0.524288	449308	123	0	5	0	2	0	29848996491	0.37399	0.9517	4e-06		4206.6	0.0	277185396	60	0.38215	0.59846	45916	-144860	1221556	-495188	1068968	0	1232279208	32476399	367.37	105.18	0.0003932	1756580	35641	1381	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	38	0	0	90.6	572.0	0.0	0.0005514	32	120	0.1726	
cost-20260827-10g	ozonedb-corfu-lru10m	a	8	8	1	10000000	10240000000	220520	110136	110384	0	119	2300.9	387	152145	0.00254	10485760	0.001024	167415	512	8	6	4	2	172227141	11843281123	0.7615	1.1037	6.3e-05	0.000127	1606.75	0.117	105802316	60	0.6983	0.0	69988	-104972	24415412	316452	1187840	0	12144234044	20329374	383.43	123.52	0.0022989	2500376	50758	1753	58.0	4.0	62.0	5.0	70.0	7.0	2	3.0	10	9.5	88	110503	0	145.6	186.0	0.0	0.0015039	32	120	0.0871	
cost-20260827-10g	ozonedb-corfu-lru10m	c	8	8	1	10000000	10240000000	515235	515235	0	0	120	4618.7	64717	450139	0.1257	10485760	0.001024	430352	483	0	6	0	2	0	29169950385	0.83619	0.9571	1.2e-05		4117.33	0.0	271269278	60	0.89144	0.06861	63288	-111672	11864868	63864	1187840	0	12100609039	139274285	480.79	84.04	0.0010963	1792788	50758	1801	58.0	4.0	62.0	5.0	70.0	7.0	1	4.0	6	62.0	617	0	0	54.0	458.6	0.0	0.0009949	32	120	0.1335	
cost-20260827-10g	ozonedb-corfu-lru1280k	a	8	8	1	10000000	10240000000	252260	126443	125817	0	120	2298.6	60	173713	0.00035	1310720	0.000128	168169	512	8	6	4	2	171433654	11893309215	0.66868	0.971	5.5e-05	0.000111	1610.38	0.117	106045231	60	0.7006	0.0	70152	-104808	12087552	193320	1187840	0	12143623832	20209018	385.63	125.32	0.0020255	2476344	50758	1855	58.0	4.0	62.0	5.0	70.0	7.0	2	3.0	10	9.0	86	125936	0	146.0	186.4	0.0	0.0013176	32	120	0.0866	
cost-20260827-10g	ozonedb-corfu-lru1280k	c	8	8	1	10000000	10240000000	483478	483478	0	0	120	4330.6	19549	463569	0.04046	1310720	0.000128	443198	483	0	6	0	2	0	30016856170	0.91769	0.9571	1.2e-05		4239.52	0.0	279328993	60	0.97897	0.0	63288	-111672	12390840	63864	1187840	0	12100609039	139274285	467.87	84.22	0.0011419	1718484	50758	1759	58.0	4.0	62.0	5.0	70.0	7.0	1	4.0	6	62.0	638	0	0	54.3	475.4	0.0	0.0010956	32	120	0.1379	
cost-20260827	ozonedb-corfu-lru128k	a	8	8	1	1000000	1024000000	142761	71606	71155	0	105	2567.0	17	96868	0.00018	131072	0.000128	172792	149	8	5	6	2	256659426	11626614420	1.2114	1.7853	9.1e-05	0.000183	1630.02	0.133	107346029	60	0.635	0.29089	68412	-122364	1490328	252716	1068968	0	1335060076	41803590	304.44	118.28	0.002961	2043772	35641	1382	41.0	3.0	2.0	3.0	28.0	5.0	2	3.0	10	19.5	190	71233	0	146.0	226.4	0.0	0.0026085	32	120	0.1108	
cost-20260827	ozonedb-corfu-lru128k	c	8	8	1	1000000	1024000000	553673	553673	0	0	120	4907.1	2865	549731	0.00518	131072	0.000128	522399	123	0	5	0	2	0	34662596194	0.94374	0.9505	9e-06		4957.55	0.0	326641315	60	1.01029	0.0	45916	-144860	1221508	-453204	1068968	0	1232279208	32476399	332.75	81.94	0.000749	1095184	35641	1379	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	40	0	0	60.9	666.2	0.0	0.0013132	32	120	0.1894	
cost-20260827-long	ozonedb-corfu-lru128k	c	8	8	1	1000000	1024000000	2987812	2987812	0	0	600	4982.1	15075	2966932	0.00506	131072	0.000128	2944834	123	0	5	0	2	0	194270392049	0.98566	0.9926	2e-06		4936.88	0.0	325272330	51	0.99093	0.00168	45916	-144860	1221556	3048	1068968	0	1232279208	32476399	1490.72	399.15	0.0006325	1077124	35641	1402	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	38	0	0	283.1	3755.2	0.0	0.0013516	32	600	0.2103	
cost-20260827	ozonedb-corfu-lru1m	a	8	8	1	1000000	1024000000	174462	87214	87248	0	105	2539.0	154	118098	0.0013	1048576	0.001024	173468	150	8	5	6	2	256366695	11671556817	0.99516	1.4701	7.5e-05	0.000149	1646.12	0.133	108412328	60	0.64834	0.1178	192980	2204	1469256	250796	1068968	0	1342886821	49688617	307.65	119.2	0.0024467	1973192	35641	1479	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	19.0	172	87328	0	150.6	227.3	0.0	0.0021658	32	120	0.1125	
cost-20260827	ozonedb-corfu-lru1m	c	8	8	1	1000000	1024000000	573951	573951	0	0	120	5086.2	19865	552944	0.03468	1048576	0.001024	525787	123	0	5	0	2	0	34885307696	0.9163	0.9511	9e-06		4987.8	0.0	328628985	60	0.98066	0.0	45916	-144860	1221556	-403308	1068968	0	1232279208	32476399	332.61	83.95	0.0007258	1070804	35641	1473	41.0	3.0	2.0	3.0	28.0	5.0	1	3.0	5	2.0	39	0	0	59.9	669.8	0.0	0.0012713	32	120	0.19	
