tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
local	cassandra-quorum	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	26	36706.5																																80.05	39.71	0.0001198	1105152									0					0	0								no_server_sample
local	cassandra-quorum	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	220	42826.2						0	0	0	0	0	0	0	0	0.0		0.0	0.0							4	0	224	-11800528	12715364	12714536			315.44	311.53	6.27e-05	1440512									0					0	0	0.0	3.6	1363.0	0.0001367	32	240	0.1941	
local	ozonedb-corfu	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	111	8054.0	0	0		536870912	0.524288	204858	48	43	1	20	2	2162675639	998325983	0.20491		4.4e-05	4.4e-05	1831.9	0.353	8899213	51	0.22745		192472	192436	1498396	1498028	10675544	0	1247063834	36119225	685.36	227.04	0.0009124	3509832	6276	1326	7.1	0.6	6.9				4	3.0	20	22.5	194	1003071	0	324.1	232.8	0.0	0.0005569	32	150	0.1568	
local	ozonedb-corfu	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	1063	9627.2	0	0		536870912	0.0524288	320370	564	508	1	408	2	34889801977	21108531674	0.03209		5.1e-05	5.1e-05	289.15	0.533	19023584	60	0.03003		174948	174912	12295108	10904816	1187840	0	12065322600	103987846	5049.78	1935.08	0.0006985	5009588	19807	4295	22.8	1.5	13.8				36	4.2	222	55.1	454	10013519	0	3258.1	615.2	0.0	0.0003873	32	1120	0.1139	
cost-20260828-4k-long	ozonedb-corfu-lru128k	c	8	8	1	1000000	1024000000	3513066	3513066	0	0	600	5857.8	181270	3315809	0.05183	131072	0.000128	3291564	123	0	5	0	2	0	16123449811	0.93698	0.9927	1e-06		5627.43	0.0	27044618	60	0.96068	0.03228	59016	-133468	1228224	-14576	10675544	0	1240288297	29343688	1402.21	338.28	0.0004954	1179516	47615	2308	54.0	3.0	7.0	3.0	20.0	5.0	1	3.0	5	7.0	85	0	0	305.3	3402.4	0.0	0.0010554	32	600	0.1931	
cost-20260828-4k-long	ozonedb-corfu-lru1m	c	8	8	1	1000000	1024000000	3849050	3849050	0	0	600	6419.2	537063	3294338	0.14017	1048576	0.001024	3270439	123	0	5	0	2	0	16021902856	0.84971	0.9928	1e-06		5477.43	0.0	26323746	51	0.85328	0.14051	59016	-133468	1228128	7952	10675544	0	1240288297	29343688	1435.37	343.11	0.0004621	1168368	47615	2339	54.0	3.0	7.0	3.0	20.0	5.0	1	3.0	5	7.0	82	0	0	339.6	3359.5	0.0	0.000961	32	600	0.1927	
cost-20260828-4k	ozonedb-corfu-lru512m	a	8	8	1	1000000	1024000000	291038	145623	145415	0	120	2604.7	11663	184367	0.0595	536870912	0.524288	211785	145	13	5	8	2	171521251	1334868232	0.72819	1.1495	6.2e-05	0.000124	1968.65	0.2	9577020	60	0.7558	0.0	77024	-115460	1526580	283732	10675544	0	1382455572	74888381	320.0	125.23	0.0015298	2490204	47615	2310	54.0	3.0	7.0	3.0	20.0	5.0	2	3.5	11	35.5	309	145831	0	169.8	224.9	0.0	0.0013564	32	130	0.1028	
cost-20260828-4k-long	ozonedb-corfu-lru512m	a	8	8	1	1000000	1024000000	1627915	813575	814340	1	601	2708.5	191488	895153	0.17622	536870912	0.524288	1020580	321	53	5	39	2	1495572607	5357117139	0.62712	1.1405	3.6e-05	7.1e-05	1770.02	0.05	8856123	60	0.6535	0.0	133600	-58884	2252600	520192	10675544	0	1894015117	49561825	1302.11	596.48	0.0011663	3869740	47615	2360	54.0	3.0	7.0	3.0	20.0	5.0	7	3.4	38	33.1	268	816338	0	954.5	1090.9	0.0	0.0012565	32	600	0.1064	
cost-20260828-4k	ozonedb-corfu-lru512m	c	8	8	1	1000000	1024000000	1046184	1046184	0	0	120	10218.2	468122	573298	0.4495	536870912	0.524288	547941	123	0	5	0	2	0	2938025258	0.52387	0.956	5e-06		5127.38	0.0	24641672	60	0.50179	0.47511	59016	-133468	1708740	8048	10675544	0	1240288297	29343688	337.26	88.39	0.0004069	1627728	47615	2368	54.0	3.0	7.0	3.0	20.0	5.0	1	3.0	5	7.0	81	0	0	89.2	563.8	0.0	0.0006241	32	120	0.17	
cost-20260828-4k-long	ozonedb-corfu-lru512m	c	8	8	1	1000000	1024000000	8041500	8041500	0	0	601	14349.7	5199670	2804986	0.64958	536870912	0.524288	2785181	123	0	5	0	2	0	13689833570	0.34637	0.993	1e-06		4626.12	0.0	22232485	60	0.32238	0.67534	59016	-133468	1228128	-1490488	10675544	0	1240288297	29343688	1526.15	457.29	0.0002467	1924348	47615	2360	54.0	3.0	7.0	3.0	20.0	5.0	1	3.0	5	7.0	83	0	0	518.8	2882.9	0.0	0.000423	32	600	0.1769	
