tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	hits_l1	hits_l2	hits_l3	hits_l4plus	misses_l1	misses_l2	misses_l3	misses_l4plus	cache_dead_files	cache_dead_blocks	cache_dead_bytes	cache_retired_tables	warm_files	warm_blocks	warm_bytes	warm_hits	warm_hit_frac	warm_skipped_disabled	warm_skipped_level	warm_skipped_budget	warm_skipped_affinity	warm_skipped_gone	warm_skipped_built	warm_dropped	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
local	ozonedb-corfu	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	109	9634.0	0	0		536870912	0.524288																									100	49	46	1	24	2	2305687603	1000024259	0.00015		4.7e-05	4.7e-05	1.57	0.549	11262152	51	0.00016		157252	157216	3495956	2324044	10675544	0	1292358689	77084518	612.0	214.46	0.0008265	3662156	3639	781	4.1	0.9	4.0				4	3.8	23	38.2	346	1000708	0	284.3	12.9	0.0	0.0002973	32	120	0.0852	
local	ozonedb-corfu-warm	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	111	9380.5	0	0		536870912	0.524288	0	0	0	0	0	0	0	0	10	248662	1163602275	0	0	0	0	0		0	55	0	129	0	0	0	99	47	41	1	19	2	2269617612	998311142	0.00015		4.2e-05	4.2e-05	1.6	0.433	11883480	60	0.00017		168304	168268	3559368	2294904	10675544	0	1260102931	47953878	615.49	217.88	0.0008334	3316100	2	68	0.0	0.2	0.0				4	3.8	23	32.0	271	1000699	0	303.1	12.9	0.0	0.000316	32	120	0.089	
cost-20260828-cache-long	ozonedb-corfu-lru512m	a	8	8	1	1000000	1024000000	1634290	817051	817239	1	601	2724.1	199822	892575	0.18292	536870912	0.524288	64574	135248	0	0	226140	666435	0	0	1	1	4680	0	0	0	0	0		352	0	0	0	0	0	0	887519	325	52	5	38	2	1438995200	5228246038	0.54326	0.9947	3.5e-05	7e-05	1411.45	0.133	8671217	60	0.51814	0.0	88112	-80204	1893152	660196	10675544	0	1875478973	30446770	1322.37	599.79	0.0011761	3680316	2	188	0.0	3.0	6.0	3.0	6.0	5.0	7	3.3	37	25.9	200	817709	0	918.9	950.4	0.0	0.0011438	32	600	0.0972	
cost-20260828-cache-long	ozonedb-corfu-lru512m-warm	a	8	8	1	1000000	1024000000	1634715	817888	816827	4	601	2706.3	200128	891640	0.18331	536870912	0.524288	64347	135781	0	0	225803	665837	0	0	2	2	9359	0	0	0	0	0		0	104	0	248	0	0	0	886819	321	52	5	38	2	1437297532	5223180833	0.54269	0.995	3.5e-05	7e-05	1410.47	0.133	8654635	60	0.52117	0.0	87624	-80692	2239200	1006084	10675544	0	1874796794	29641356	1323.15	586.88	0.0011684	3769636	1	178	0.0	3.0	6.0	3.0	6.0	5.0	7	3.3	37	25.6	211	817295	0	946.5	950.9	0.0	0.0011607	32	600	0.0987	
cost-20260828-cache-long	ozonedb-corfu-lru512m-warm-wl2-wf50	a	8	8	1	1000000	1024000000	1669436	834930	834506	7	601	2782.5	299756	815315	0.26882	536870912	0.524288	66352	233404	0	0	231842	583473	0	0	1	1	4680	0	42	880334	4119472742	123286	0.14	0	0	0	304	0	6	0	810928	330	52	5	39	2	1432097266	9089807615	0.48595	0.995	3.4e-05	6.8e-05	1293.22	0.117	16600349	60	0.46477	0.06605	85076	-83240	1881768	648812	10675544	0	1915434966	69590540	1355.66	607.64	0.001176	3765644	2	185	0.0	3.0	6.0	3.0	6.0	5.0	7	3.4	38	27.6	236	834988	0	955.4	873.1	0.0	0.0010953	32	600	0.0951	
cost-20260828-cache-long	ozonedb-corfu-lru8m-warm	a	8	8	1	1000000	1024000000	1553244	776640	776604	0	600	2591.4	10469	1027631	0.01008	8388608	0.008192	6344	4125	0	0	270081	757550	0	0	0	0	0	16	0	0	0	0		0	104	240	0	0	0	0	1020931	316	49	5	37	2	1336469961	5863605543	0.65749	0.9938	3.5e-05	7e-05	1740.8	0.117	10172622	60	0.67176	0.0	76212	-92104	2061364	-76792	10675544	0	1873535257	74804054	1330.39	565.05	0.0012203	2994952	5	189	0.0	3.0	6.0	3.0	6.0	5.0	7	3.1	36	20.9	205	777047	0	892.2	1082.2	0.0	0.0012711	32	600	0.1028	
cost-20260828-cache2-long	ozonedb-corfu-lru512m-warm	a	8	8	1	1000000	1024000000	1721115	860639	860476	5	601	2856.6	399761	749218	0.34793	536870912	0.524288	273200	126561	0	0	33701	715517	0	0	0	0	0	16	105	1011815	4734601200	205253	0.2029	0	112	0	136	0	15	0	746160	338	52	5	38	2	1447924846	9088084654	0.43373	0.9964	3.3e-05	6.6e-05	1168.83	0.117	11071287	60	0.40917	0.17876	91860	-76456	2123212	890200	10675544	0	1947786764	60997751	1330.19	619.9	0.001133	4003108	1	180	0.0	3.0	6.0	3.0	6.0	5.0	7	3.3	37	24.6	203	861000	0	971.9	804.5	0.0	0.0010321	32	600	0.0924	
cost-20260828-cache2-long	ozonedb-corfu-lru512m-warm-wl2-wf50	a	8	8	1	1000000	1024000000	1749314	875456	873858	5	601	2911.5	470271	697406	0.40274	536870912	0.524288	275436	194835	0	0	37386	660020	0	0	1	1	4680	16	154	2018310	9444484448	310615	0.1539	0	0	0	192	0	22	0	694259	347	56	5	40	2	1633154923	14106505634	0.39707	0.996	3.5e-05	7e-05	1087.13	0.167	28094611	60	0.3734	0.25088	84420	-83896	2322372	-57180	10675544	0	1978296306	91588265	1353.24	638.39	0.0011385	4175336	1	179	0.0	3.0	6.0	3.0	6.0	5.0	7	3.6	39	33.6	277	874392	0	1009.2	757.3	0.0	0.0010098	32	600	0.0918	
cost-20260828-cache3-long	ozonedb-corfu-lru512m-warm-wl2-wf50	a	8	8	1	1000000	1024000000	1742749	870829	871920	0	601	2894.2	469828	694427	0.40354	536870912	0.524288	275096	194732	0	0	36761	657666	0	0	1	1	4676	16	154	2021950	9461523225	310316	0.1535	192	0	0	0	0	22	0	691195	356	55	5	40	2	1628885701	14112773359	0.39682	0.9959	3.4e-05	6.9e-05	1081.27	0.15	28059593	60	0.3736	0.24922	93388	-74928	1971872	738716	10675544	0	1975735944	87734566	1347.75	638.25	0.0011396	4120932	1	180	0.0	3.0	6.0	3.0	6.0	5.0	7	3.4	38	32.4	266	872442	0	1008.5	752.7	0.0	0.0010106	32	600	0.0916	
cost-20260828-cache3-long	ozonedb-corfu-lru8m-warm	a	8	8	1	1000000	1024000000	1560282	779923	780359	0	600	2599.5	10277	1032155	0.00986	8388608	0.008192	6239	4038	0	0	271201	760954	0	0	0	0	0	16	0	0	0	0		192	48	104	0	0	0	0	1025359	314	50	5	37	2	1353897829	5884375656	0.65736	0.9937	3.5e-05	7e-05	1745.67	0.133	10192386	60	0.67153	0.0	80384	-87932	1986232	-241980	10675544	0	1882184363	83606266	1334.4	572.91	0.0012224	2866228	1	182	0.0	3.0	6.0	3.0	6.0	5.0	7	3.3	37	23.9	209	780799	0	874.1	1093.2	0.0	0.0012609	32	600	0.1025	
