tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	cache_fill	disk_hits	disk_misses	disk_h	disk_hit_bytes	disk_miss_bytes	disk_fills	disk_fill_bytes	disk_fill_gets	disk_fill_gets_per_op	disk_fill_failed	disk_fill_dropped	disk_passthrough	disk_evictions	disk_invalidated	disk_files	disk_bytes	disk_capacity	disk_ratio	h_total	disk_fetch_bytes	disk_amp	disk_admit_rejected	disk_entries	disk_mode	disk_entry_bytes	disk_punch_failed	disk_evicted_bytes	hits_l1	hits_l2	hits_l3	hits_l4plus	misses_l1	misses_l2	misses_l3	misses_l4plus	cache_dead_files	cache_dead_blocks	cache_dead_bytes	cache_retired_tables	warm_files	warm_blocks	warm_bytes	warm_hits	warm_hit_frac	warm_skipped_disabled	warm_skipped_level	warm_skipped_budget	warm_skipped_affinity	warm_skipped_gone	warm_skipped_built	warm_dropped	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
cost2-20260828-cass-100g-new	cassandra-quorum	a	8	8	1	100000000	102400000000	4126107	2063390	2062717	0	122	34480.2																																																										0	0	0	7	0	2	0	16465	0.0		2e-06	3e-06	0.0	0.0	0	60	0.0		52520	0	119137380	96	107087908	356416	121962459919	166615070	141.9	125.78	6.49e-05	1415424									0					0	0	0.0	0.3	568.1	0.0001378	32	120	0.1456	
cost2-20260828-cass-10g-rerun	cassandra-quorum	a	8	8	1	10000000	10240000000	5241345	2622266	2619079	0	122	42375.9																																																										0	0	0	1	0	2	0	427	0.0		0.0	0.0	0.0	0.0	0	60	0.0		4	0	184	-96	11117296	-501132	0		169.46	155.47	6.2e-05	1454848									0					0	0	0.0	0.1	704.4	0.0001344	32	130	0.1805	
cost2-20260828-cass-100g-new	cassandra-quorum	ai	8	8	1	100000000	102400000000	4157483	2079486	2077997	0	122	34321.3																																																										0	0	0	7	0	2	0	16465	0.0		2e-06	3e-06	0.0	0.0	0	50	0.0		52520	0	119137428	96	109279084	2349772	121962459919	166615070	151.4	122.07	6.58e-05	1414144									0					0	0	0.0	0.2	574.1	0.0001381	32	120	0.1471	
cost2-20260828-cass-ins	cassandra-quorum	ai	8	8	1	10000000	10240000000	4077222	2037540	2039682	0	122	37678.6																																																										0	0	0	7	0	2	0	16465	0.0		2e-06	3e-06	0.0	0.0	0	60	0.0		52520	0	119137380	96	12971252	1340432	121962459919	166615070	147.72	120.99	6.59e-05	1426176									0					0	0	0.0	0.2	585.7	0.0001437	32	120	0.1501	
cost2-20260828-cass-10g-rerun	cassandra-quorum	c	8	8	1	10000000	10240000000	5309428	5309428	0	0	122	43300.4																																																										0	0	0	1	0	2	0	427	0.0		0.0		0.0	0.0	0	60	0.0		4	0	136	-144	10664868	-898628	0		160.96	159.73	6.04e-05	1430528									0					0	0	0.0	0.1	683.0	0.0001287	32	120	0.175	
cost2-20260828-10g-fix-jni	ozonedb-corfu-lru5g	a	8	8	1	10000000	10240000000	748274	375064	373210	0	301	2557.1	23073	489147	0.04505	5368709120	0.524288	0.0669																												13425	2096	7552	0	49171	92183	347793	0	0	0	0	16	0	0	0	0		2392	0	0	0	0	0	0	482909	573	27	6	22	2	999807503	4649291304	0.64613	0.9884	4.4e-05	8.8e-05	1678.72	0.033	10005158	60	0.65649	0.0	134208	-313332	12774160	-91260	10828680	0	12575308787	117988489	703.83	302.69	0.0013451	4093888	92750	2041	106.0	3.0	15.0	4.0	41.0	6.0	4	4.0	24	56.5	576	373473	0	410.6	508.5	0.0	0.0012282	32	300	0.0954	
cost2-20260828-100g-diag	ozonedb-corfu-native-lru100m	a	8	8	1	100000000	102400000000	528895	264455	264440	0	304	2619.5	8521	361807	0.02301	104857600	0.001024	1.0																																																				373157	2319	21	7	16	2	520347181	16358821092	0.70993	1.0378	5.3e-05	0.000106	1919.43	0.1	9307151	60	0.73276	0.0	58588	6068	119432504	272152	10828680	0	122136760925	141717227	502.9	276.53	0.0014737	10756072	27788	780	31.0	3.0	51.0	4.0	84.0	6.0	3	3.3	16	57.0	555	264573	0	258.9	439.0	0.0	0.0013195	32	310	0.0717	
cost2-20260828-100g-diag	ozonedb-corfu-native-lru100m	ai	8	8	1	100000000	102400000000	1080734	539936	540798	0	304	3627.8	203035	348613	0.36805	104857600	0.001024	1.0																																																				360109	2353	38	7	24	2	491048878	16130464069	0.33539	1.0397	4.2e-05	8.3e-05	1256.68	0.133	6080146	60	0.3464	0.33314	79716	27196	119454376	317132	10828680	0	122084710272	167943683	579.63	332.3	0.0008438	10781188	27788	671	31.0	3.0	51.0	4.0	84.0	6.0	5	3.8	29	70.4	678	540953	0	451.1	399.8	0.0	0.0007874	32	310	0.0875	
cost2-20260828-100g-diag	ozonedb-corfu-native-lru100m	c	8	8	1	100000000	102400000000	1832016	1832016	0	0	304	6269.6	644091	1268331	0.33679	104857600	0.001024	1.0																																																				1279463	2268	5	7	5	2	54041967	20535081199	0.69963	1.0106	7e-06		4719.32	0.0	22672313	60	0.75272	0.25514	39668	-12852	119190096	-542652	10828680	0	121938893800	143048951	895.71	225.32	0.0006119	10367304	27788	730	31.0	3.0	51.0	4.0	84.0	6.0	1	3.0	5	51.0	996	0	0	155.9	1333.1	0.0	0.0008128	32	310	0.1531	
cost2-20260828-10g-fix-scale	ozonedb-corfu-native-lru5g	a	2	2	1	10000000	10240000000	122663	61163	61500	0	121	1112.6	5058	81228	0.05862	5368709120	0.524288	0.0653																												1672	467	2919	0	2005	16364	62859	0	0	0	0	0	0	0	0	0		584	0	0	0	0	0	0	78089	134	7	6	8	2	368889225	1094903015	0.63771	0.963	0.000106	0.000211	742.05	0.017	3589087	60	0.66695	0.0	64780	-382760	12786152	381284	10828680	0	12278344617	55905345	56.12	29.96	0.0007018	2698980	92750	1438	106.0	3.0	15.0	4.0	41.0	6.0	2	3.0	10	26.0	272	61575	0	53.7	81.2	0.0	0.0010996	32	120	0.0348	
