tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	cache_fill	disk_hits	disk_misses	disk_h	disk_hit_bytes	disk_miss_bytes	disk_fills	disk_fill_bytes	disk_fill_gets	disk_fill_gets_per_op	disk_fill_failed	disk_fill_dropped	disk_passthrough	disk_evictions	disk_invalidated	disk_files	disk_bytes	disk_capacity	disk_ratio	h_total	disk_fetch_bytes	disk_amp	disk_admit_rejected	disk_entries	disk_mode	disk_entry_bytes	disk_punch_failed	disk_evicted_bytes	hits_l1	hits_l2	hits_l3	hits_l4plus	misses_l1	misses_l2	misses_l3	misses_l4plus	cache_dead_files	cache_dead_blocks	cache_dead_bytes	cache_retired_tables	warm_files	warm_blocks	warm_bytes	warm_hits	warm_hit_frac	warm_skipped_disabled	warm_skipped_level	warm_skipped_budget	warm_skipped_affinity	warm_skipped_gone	warm_skipped_built	warm_dropped	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
cost2-20260828-10g	ozonedb-corfu-linearizable-native-lru5g	a	8	8	1	10000000	10240000000	310137	154994	155143	0	120	2800.1	6167	208976	0.02866	5368709120	0.524288	0.0357																												3141	675	2351	0	14326	39979	154671	0	0	0	0	0	0	0	0	0		2344	0	0	0	0	0	0	201481	533	10	6	9	2	589033312	3315253642	0.65137	0.9667	5.2e-05	0.000103	1857.16	0.137	9125258	51	0.66325	0.0	94832	-275316	12568472	596168			12325842235	24414713	233.88	95.9	0.0010633	2845900	40059	626	45.0	4.0	38.0	4.0	58.0	6.0	2	3.0	10	11.5	125	155311	0	134.6	217.8	0.0	0.0011363	32	120	0.0918	
cost2-20260828-10g	ozonedb-corfu-linearizable-native-lru5g	c	8	8	1	10000000	10240000000	4150390	4150390	0	0	603	7124.1	1899492	2322324	0.44992	5368709120	0.524288	0.253																												17242	544878	1337372	0	41172	491049	1790103	0	0	0	0	0	0	0	0	0		2304	0	0	0	0	0	0	2324536	484	6	6	5	2	40837391	13023090821	0.56019	1.0012	3e-06		3775.22	0.0	18139592	60	0.52992	0.4707	62260	-307888	12012324	39964			12246622982	102474828	2095.96	338.25	0.0005865	4043012	40059	607	45.0	4.0	38.0	4.0	58.0	6.0	1	4.0	6	38.0	404	0	0	361.3	2439.1	0.0	0.0006747	32	610	0.1451	
cost2-20260828-jni	ozonedb-corfu-lru5g	a	8	8	1	10000000	10240000000	1437527	719177	718350	0	601	2373.9	60901	923002	0.0619	5368709120	0.524288	0.1209																												31567	9881	19453	0	108601	178839	635562	0	2	2	9360	16	0	0	0	0		2472	0	0	0	0	0	0	919256	695	54	6	44	2	2006153811	7688723349	0.63995	0.9967	4.2e-05	8.4e-05	1522.31	0.039	9382155	51	0.64128	0.0	127900	-242248	13228712	-432084			12804066384	42153950	1469.49	568.84	0.0014179	5110608	40059	1220	45.0	4.0	38.0	4.0	58.0	6.0	7	3.6	39	35.4	361	718954	0	893.3	997.9	0.0	0.0013156	32	600	0.0983	
cost2-20260828-10g	ozonedb-corfu-native-lru10m	c	8	8	1	10000000	10240000000	1631188	1631188	0	0	300	5494.6	409390	1250256	0.24667	10485760	0.001024	0.9997																												1493	141898	265999	0	21439	265261	963556	0	0	0	0	0	0	0	0	0		2304	0	0	0	0	0	0	1231411	483	0	6	0	2	0	7770676423	0.75521	0.9853	4e-06		4290.42	0.0	20615360	60	0.78085	0.20752	62260	-307888	12012372	-48708			12246622982	102474828	980.19	157.42	0.0006974	1824564	40059	650	45.0	4.0	38.0	4.0	58.0	6.0	1	4.0	6	38.0	409	0	0	150.2	1286.4	0.0	0.0008808	32	300	0.1497	
cost2-20260828-10g	ozonedb-corfu-native-lru1280k	c	8	8	1	10000000	10240000000	1528888	1528888	0	0	300	5143.7	248742	1306895	0.1599	1310720	0.000128	0.9997																												264	104002	144476	0	21058	277993	1007844	0	0	0	0	0	0	0	0	0		2304	0	0	0	0	0	0	1287068	483	0	6	0	2	0	8038144324	0.84215	0.9852	4e-06		4495.85	0.0	21602800	60	0.87406	0.11281	62260	-307888	12012472	-48704			12246622982	102474828	980.15	155.02	0.0007425	1782020	40059	641	45.0	4.0	38.0	4.0	58.0	6.0	1	4.0	6	38.0	395	0	0	134.7	1330.9	0.0	0.0009586	32	300	0.1527	
cost2-20260828-scale	ozonedb-corfu-native-lru5g	a	2	2	1	10000000	10240000000	110375	55203	55172	0	121	975.5	4741	74207	0.06005	5368709120	0.524288	0.0756																												1848	700	2193	0	1984	15083	57140	0	0	0	0	8	0	0	0	0		582	0	0	0	0	0	0	71488	138	3	6	4	2	490000990	1248947360	0.64893	0.9652	8.2e-05	0.000163	657.63	0.05	10525425	60	0.67415	0.0	133216	-236932	12069752	8672			12305620374	99963163	75.29	30.08	0.0009547	3082828	40059	811	45.0	4.0	38.0	4.0	58.0	6.0	1	4.0	6	36.0	384	55280	0	48.2	78.4	0.0	0.0011469	32	120	0.0327	
cost2-20260828-scale	ozonedb-corfu-native-lru5g	a	4	4	1	10000000	10240000000	180193	89820	90373	0	120	1663.1	5084	120892	0.04036	5368709120	0.524288	0.05																												2166	678	2240	0	5093	23843	91956	0	0	0	0	0	0	0	0	0		1168	0	0	0	0	0	0	116329	272	10	6	9	2	597399671	1944088340	0.64709	0.9645	8.9e-05	0.000177	1100.82	0.117	5331937	60	0.66192	0.0	24416	-345732	13133052	595828			12325498498	72288774	130.18	56.45	0.0010357	2914376	40059	650	45.0	4.0	38.0	4.0	58.0	6.0	2	3.5	11	34.0	355	90505	0	77.6	127.2	0.0	0.001137	32	120	0.0534	
cost2-20260828-10g	ozonedb-corfu-native-lru5g	a	8	8	1	10000000	10240000000	1690306	845384	844922	0	601	2749.5	76975	1077979	0.06665	5368709120	0.524288	0.1416																												38177	13823	24975	0	130668	212289	735022	0	1	1	4680	32	0	0	0	0		2504	0	0	0	0	0	0	1071270	732	59	6	48	2	2518668995	8825185294	0.63421	0.9945	3.8e-05	7.7e-05	1791.7	0.067	15227907	60	0.65165	0.0	146864	-223284	13122436	1110076			12900456860	48341724	1158.98	519.89	0.0009932	5134624	40059	554	45.0	4.0	38.0	4.0	58.0	6.0	7	3.6	39	31.4	353	845662	0	797.8	1167.2	0.0	0.0011625	32	610	0.1022	
cost2-20260828-10g	ozonedb-corfu-native-lru5g	c	8	8	1	10000000	10240000000	4217356	4217356	0	0	603	7209.2	1933435	2357300	0.45061	5368709120	0.524288	0.2568																												17411	553580	1362444	0	41850	500228	1815222	0	0	0	0	0	0	0	0	0		2304	0	0	0	0	0	0	2359512	484	6	6	5	2	40837391	13191153887	0.55959	1.0011	3e-06		3826.77	0.0	18387782	60	0.53081	0.46979	62260	-307888	12012372	-48708			12246622982	102474828	2137.39	339.76	0.0005874	4102580	40059	648	45.0	4.0	38.0	4.0	58.0	6.0	1	4.0	6	38.0	410	0	0	321.7	2449.9	0.0	0.0006572	32	610	0.1436	
cost2-20260828-10g	ozonedb-corfu-native-lru640m	c	8	8	1	10000000	10240000000	4159693	4159693	0	0	601	6978.4	1824532	2407147	0.43116	671088640	0.065536	1.0																												15891	529509	1279132	0	42862	511851	1852434	0	0	0	0	0	0	0	0	0		2304	0	0	0	0	0	0	2391685	483	0	6	0	2	0	13345758609	0.57508	0.9938	1e-06		4052.0	0.0	19469767	60	0.58065	0.41571	62260	-307888	12012468	-48708			12246622982	102474828	2112.69	330.92	0.0005874	3141012	40059	630	45.0	4.0	38.0	4.0	58.0	6.0	1	4.0	6	38.0	405	0	0	321.1	2490.8	0.0	0.000676	32	610	0.1462	
