tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	cache_fill	disk_hits	disk_misses	disk_h	disk_hit_bytes	disk_miss_bytes	disk_fills	disk_fill_bytes	disk_fill_gets	disk_fill_gets_per_op	disk_fill_failed	disk_fill_dropped	disk_passthrough	disk_evictions	disk_invalidated	disk_files	disk_bytes	disk_capacity	disk_ratio	h_total	disk_fetch_bytes	disk_amp	disk_admit_rejected	disk_entries	disk_mode	disk_entry_bytes	disk_punch_failed	disk_evicted_bytes	hits_l1	hits_l2	hits_l3	hits_l4plus	misses_l1	misses_l2	misses_l3	misses_l4plus	cache_dead_files	cache_dead_blocks	cache_dead_bytes	cache_retired_tables	warm_files	warm_blocks	warm_bytes	warm_hits	warm_hit_frac	warm_skipped_disabled	warm_skipped_level	warm_skipped_budget	warm_skipped_affinity	warm_skipped_gone	warm_skipped_built	warm_dropped	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
cost2-20260828-cass-10g	cassandra-quorum	a	2	2	1	10000000	10240000000	1266779	633513	633266	0	122	10357.9																																																										0	0	0	5	0	2	0	3359	0.0		4e-06	8e-06	0.0	0.0	0	60	0.0				1231424	-48	10773608	109476	1260102931	47953878	38.06	37.2	5.94e-05	1425664									0					0	0	0.0	0.1	179.4	0.0001417	32	120	0.046	
cost2-20260828-cass-10g	cassandra-quorum	a	4	4	1	10000000	10240000000	2747142	1375232	1371910	0	122	22362.8																																																										0	0	0	5	0	2	0	3359	0.0		2e-06	4e-06	0.0	0.0	0	60	0.0				1231280	-192	10901200	237068	1260102931	47953878	83.18	77.89	5.86e-05	1428480									0					0	0	0.0	0.1	330.3	0.0001203	32	120	0.0847	
cost2-20260828-cass-100g	cassandra-quorum	a	8	8	1	100000000	102400000000	2765227	1382884	1382343	0	122	23510.4																																																										0	0	0	6	0	2	0	3613	0.0		2e-06	4e-06	0.0	0.017	4	60	0.0				1231472	96	116042952	8499124	1260102931	47953878	113.43	88.49	7.3e-05	1412864									0					0	0	0.0	0.2	534.2	0.0001932	32	120	0.1369	
cost2-20260828-cass-10g	cassandra-quorum	a	8	8	1	10000000	10240000000	5361847	2680911	2680936	0	122	43236.9																																																										0	0	0	5	0	2	0	3359	0.0		1e-06	2e-06	0.0	0.0	0	51	0.0				1231472	144	11127316	463184	1260102931	47953878	166.43	156.78	6.03e-05	1453312									0					0	0	0.0	0.1	635.2	0.0001185	32	120	0.1627	
cost2-20260828-cass-100g	cassandra-quorum	c	8	8	1	100000000	102400000000	2046460	2046460	0	0	122	19771.6																																																										0	0	0	5	0	2	0	3359	0.0		2e-06		0.0	0.0	0	60	0.0				1231280	-144	115770140	8198856	1260102931	47953878	93.28	65.38	7.75e-05	1357056									0					0	0	0.0	0.1	453.6	0.0002217	32	120	0.1162	
cost2-20260828-cass-10g	cassandra-quorum	c	8	8	1	10000000	10240000000	5411879	5411879	0	0	122	43533.5																																																										0	0	0	5	0	2	0	3359	0.0		1e-06		0.0	0.0	0	60	0.0				1231328	-192	10664204	72	1260102931	47953878	164.72	160.68	6.01e-05	1420800									0					0	0	0.0	0.1	625.9	0.0001157	32	120	0.1604	
cost2-20260828-10g-fix	cassandra-quorum	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	219	43314.5																																																																																				312.65	315.6	6.28e-05	1458432									0					0	0								no_server_sample
local	cassandra-quorum	load	8	8	0	100000000	102400000000	100000000	0	100000000	0	2156	43113.3																																																										0	0	0	2	0	0	0	644	0.0		0.0	0.0	0.0	0.0	0	60	0.0				1231376	-48	125215088	125214264			2732.44	3182.25	5.91e-05	1465600									0					0	0	0.0	3.0	14086.7	0.0001409	32	2290	0.2042	
cost2-20260828-cass-100g	cassandra-serial	a	8	8	1	100000000	102400000000	994187	497555	496632	0	122	8277.4																																																										0	0	0	5	0	2	0	3359	0.0		5e-06	1e-05	0.0	0.0	0	60	0.0				1231376	96	116826172	9256128	1260102931	47953878	85.32	44.81	0.0001309	944892									0					0	0	0.0	0.1	486.9	0.0004899	32	120	0.1247	
cost2-20260828-cass-10g	cassandra-serial	a	8	8	1	10000000	10240000000	1681137	840098	841039	0	122	13635.7																																																										0	0	0	5	0	2	0	3359	0.0		3e-06	6e-06	0.0	0.0	0	60	0.0				1231472	96	11803236	1139104	1260102931	47953878	93.82	55.93	8.91e-05	1074176									0					0	0	0.0	0.1	541.1	0.000322	32	120	0.1386	
cost2-20260828-cass-100g	cassandra-serial	c	8	8	1	100000000	102400000000	1346925	1346925	0	0	122	11611.9																																																										0	0	0	5	0	2	0	3359	0.0		4e-06		0.0	0.0	0	60	0.0				1231280	-144	116417396	8868928	1260102931	47953878	81.77	51.1	9.86e-05	1060096									0					0	0	0.0	0.1	528.1	0.0003922	32	120	0.1353	
cost2-20260828-cass-10g	cassandra-serial	c	8	8	1	10000000	10240000000	2011014	2011014	0	0	122	16075.8																																																										0	0	0	5	0	2	0	3359	0.0		2e-06		0.0	0.0	0	60	0.0				1231424	96	11322124	657992	1260102931	47953878	92.7	67.98	7.99e-05	1276924									0					0	0	0.0	0.1	535.8	0.0002665	32	120	0.1373	
cost2-20260828-10g-fix	ozonedb-corfu-linearizable-native-lru5g	a	8	8	1	10000000	10240000000	884204	441911	442293	0	301	3023.5	29712	574687	0.04916	5368709120	0.524288	0.0772																												17068	3128	9516	0	60578	109394	404715	0	0	0	0	0	0	0	0	0		2400	0	0	0	0	0	0	567420	582	27	6	22	2	1009444631	5060726811	0.64239	0.9884	3.7e-05	7.5e-05	1980.18	0.017	9600574	60	0.65494	0.0	168916	-278624	12706220	-354648	10828680	0	12625759052	120668396	439.11	239.84	0.0007679	3195844	92750	1346	106.0	3.0	15.0	4.0	41.0	6.0	4	3.8	23	50.8	525	442576	0	375.4	588.5	0.0	0.0010901	32	300	0.1001	
cost2-20260828-10g-fix	ozonedb-corfu-linearizable-native-lru5g	c	8	8	1	10000000	10240000000	5615287	5615287	0	0	604	9780.2	2613325	3013873	0.46441	5368709120	0.524288	0.3346																												19757	647750	1945818	0	35552	602452	2375869	0	0	0	0	16	0	0	0	0		2328	0	0	0	0	0	0	3016141	495	6	6	8	2	297868006	16521137362	0.53722	1.0009	2e-06		5003.35	0.0	24040835	60	0.51158	0.48889	126928	-320612	12038704	15928	10828680	0	12230012013	60450858	1329.2	406.77	0.0003092	5493660	92750	1243	106.0	3.0	15.0	4.0	41.0	6.0	1	3.0	5	15.0	158	64	0	426.0	3046.6	0.0	0.0006184	32	610	0.1797	
cost2-20260828-10g-fix	ozonedb-corfu-native	load	16	16	0	10000000	10240000000	10000000	0	10000000	0	726	13567.7	0	0		536870912	0.0524288	0.8438																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4582	0	0	0	0	0	0	1740	565	438	1	349	2	34951086962	21371940466	0.00023		4.4e-05	4.4e-05	2.97	0.733	28324734	60	0.00022		447584	447548	13384656	-105880168	10665840	0	12306676326	137053548	3888.08	3288.13	0.0007176	3656124	19	25	0.0	1.2	0.0				24	4.2	148	55.5	744	10012998	0	4103.6	213.1	0.0	0.0004317	32	760	0.1858	
local	ozonedb-corfu-native	load	16	16	0	10000000	10240000000	10000000	0	10000000	0	700	14344.4	0	0		536870912	0.0524288	0.7669																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4542	0	0	0	0	0	0	1726	561	434	1	346	2	34763166603	21306776308	0.00023		4.4e-05	4.4e-05	3.23	0.583	30805809	60	0.00023		370144	370108	21791404	20560148			12255574551	111426397	3860.91	3206.76	0.0007068	3658548	34	28	0.0	1.1	0.0				24	4.1	146	51.5	576	10012679	0	4121.1	181.9	0.0	0.0004303	32	750	0.1921	
local	ozonedb-corfu-native	load	16	16	0	100000000	102400000000	100000000	0	100000000	0	7910	14342.0	0	0		536870912	0.0052429	0.8831																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		50046	0	0	0	0	0	0	22256	6322	4813	1	4260	2	475131341434	333395482825	0.00029		4.8e-05	4.8e-05	1.08	0.51	9773427	51	8e-05		52516	52480	127583972	127583692	10665840	0	121962459919	166615070	44196.48	32944.15	0.0007714	5148032	53	30	0.0	1.1	0.0				266	4.2	1654	71.0	856	100182699	0	48724.5	2634.3	0.0	0.0005136	32	8270	0.2029	
cost2-20260828-100g	ozonedb-corfu-native-lru100m	a	8	8	1	100000000	102400000000	1467793	733374	734419	0	274	2756.3	28292	994501	0.02766	104857600	0.001024	1.0																												23616	1320	830	2526	111168	42037	194165	647131	0	0	0	0	0	0	0	0		22260	0	0	0	0	0	0	1064841	2482	60	7	48	2	2758964042	21402313634	0.72716	1.0732	4.6e-05	9.1e-05	1767.4	0.117	8567210	60	0.64121	0.0	102580	50060	119800624	663444	10665840	0	122574264529	164111209	1059.63	540.25	0.00109	12949556	27788	622	31.0	3.0	51.0	4.0	84.0	6.0	7	3.6	39	65.3	626	735082	0	699.1	1132.2	0.0	0.0012477	32	610	0.2089	
cost2-20260828-10g-fix	ozonedb-corfu-native-lru100m	a	8	8	1	10000000	10240000000	874113	437207	436906	0	300	2996.5	18556	578960	0.03106	104857600	0.01024	1.0																												12703	1518	4335	0	63587	109278	406095	0	0	0	0	0	0	0	0	0		2400	0	0	0	0	0	0	571668	586	27	6	22	2	1004293751	5080842591	0.65467	0.9884	3.8e-05	7.6e-05	2001.52	0.017	9702580	60	0.66796	0.0	162064	-285476	12513380	-12896332	10665840	0	12615793505	110783768	448.01	261.22	0.0008114	2696680	92750	1287	106.0	3.0	15.0	4.0	41.0	6.0	4	3.8	23	48.0	491	437195	0	384.2	601.9	0.0	0.0011281	32	300	0.1027	
cost2-20260828-100g	ozonedb-corfu-native-lru100m	c	8	8	1	100000000	102400000000	3946204	3946204	0	0	604	6329.7	1402108	2718079	0.3403	104857600	0.001024	1.0																												305	33232	269947	1098624	3744	61318	615803	2037214	0	0	0	0	0	0	0	0		25272	0	0	0	0	0	0	2729211	2268	5	7	5	2	54041967	27499834854	0.69218	1.0049	3e-06		4755.53	0.0	22846006	60	0.75131	0.25238	39668	-12852	119190088	8	10665840	0	121938893800	143048951	1762.75	378.62	0.0005426	10696120	27788	726	31.0	3.0	51.0	4.0	84.0	6.0	1	3.0	5	51.0	502	0	0	324.0	2784.9	0.0	0.0007878	32	610	0.1608	
cost2-20260828-10g-fix	ozonedb-corfu-native-lru10m	c	8	8	1	10000000	10240000000	2072422	2072422	0	0	300	7033.9	484638	1592335	0.23334	10485760	0.001024	0.9997																												2075	143627	338936	0	18031	318105	1256199	0	0	0	0	16	0	0	0	0		2328	0	0	0	0	0	0	1567737	494	1	6	2	2	281457359	9561600120	0.75671	0.9849	3e-06		5498.8	0.0	26421348	60	0.78175	0.20623	126928	-320612	12038800	-366068	10828680	0	12230012013	60450858	669.47	173.02	0.0004065	2307640	92750	1419	106.0	3.0	15.0	4.0	41.0	6.0	1	3.0	5	15.0	162	64	0	164.2	1570.8	0.0	0.0008372	32	300	0.1807	
cost2-20260828-100g	ozonedb-corfu-native-lru12800k	c	8	8	1	100000000	102400000000	3531228	3531228	0	0	604	5655.4	939257	2747387	0.25477	13107200	0.000128	0.9997																												42	22265	169495	747455	3636	61668	625229	2056854	0	0	0	0	0	0	0	0		25272	0	0	0	0	0	0	2758519	2268	5	7	5	2	54041967	27640638083	0.78182	1.0049	3e-06		4815.98	0.0	23136470	60	0.85157	0.15256	39668	-12852	119190184	-75844	10665840	0	121938893800	143048951	1750.21	370.8	0.0006006	10557232	27788	680	31.0	3.0	51.0	4.0	84.0	6.0	1	3.0	5	51.0	515	0	0	313.9	2817.8	0.0	0.0008869	32	610	0.162	
cost2-20260828-10g-fix	ozonedb-corfu-native-lru1280k	c	8	8	1	10000000	10240000000	1842473	1842473	0	0	300	6266.6	272098	1574421	0.14736	1310720	0.000128	0.9997																												374	97041	174683	0	17782	313514	1243125	0	0	0	0	16	0	0	0	0		2328	0	0	0	0	0	0	1550114	494	1	6	2	2	281457359	9476908118	0.84159	0.9849	4e-06		5341.08	0.0	25663703	51	0.85231	0.13461	126928	-320612	12038848	-366068	10828680	0	12230011314	60450159	649.13	167.98	0.0004435	2272500	92750	1343	106.0	3.0	15.0	4.0	41.0	6.0	1	3.0	5	15.0	167	61	0	174.1	1569.6	0.0	0.0009464	32	300	0.1816	
cost2-20260828-10g-fix	ozonedb-corfu-native-lru5g	a	8	8	1	10000000	10240000000	874803	437146	437657	0	301	2967.8	29304	569419	0.04894	5368709120	0.524288	0.0767																												16849	3017	9438	0	59637	108033	401749	0	0	0	0	0	0	0	0	0		2400	0	0	0	0	0	0	562136	586	27	6	22	2	1003245281	5035594067	0.64326	0.9882	3.8e-05	7.5e-05	1950.47	0.017	9457626	60	0.6572	0.0	163044	-284496	12513212	199352	10828680	0	12616533386	111164624	452.01	274.93	0.000831	3259156	92750	1254	106.0	3.0	15.0	4.0	41.0	6.0	4	3.8	23	47.8	477	437941	0	376.9	586.2	0.0	0.001101	32	300	0.1	
cost2-20260828-10g-fix	ozonedb-corfu-native-lru640m	c	8	8	1	10000000	10240000000	2544682	2544682	0	0	301	9045.0	1037458	1512701	0.40682	671088640	0.065536	1.0																												7510	265544	764404	0	17410	302248	1193043	0	0	0	0	16	0	0	0	0		2328	0	0	0	0	0	0	1489612	495	1	6	2	2	281457359	9186220553	0.58558	0.9851	3e-06		5182.28	0.0	24900594	60	0.57295	0.41837	126928	-320612	12038704	15920	10828680	0	12230012013	60450858	656.83	198.43	0.0003361	3599092	92750	1346	106.0	3.0	15.0	4.0	41.0	6.0	1	3.0	5	15.0	159	64	0	209.1	1502.3	0.0	0.0006726	32	300	0.1777	
