tag	label	workload	writers	have	trial	record_cnt	dataset_bytes	ops	reads	writes	failed	run_s	steady_ops_s	cache_hits	cache_misses	h	cache_capacity	cache_ratio	disk_hits	disk_misses	disk_h	disk_hit_bytes	disk_miss_bytes	disk_fills	disk_fill_bytes	disk_fill_gets	disk_fill_gets_per_op	disk_evictions	disk_invalidated	disk_files	disk_bytes	disk_capacity	disk_ratio	h_total	hits_l1	hits_l2	hits_l3	hits_l4plus	misses_l1	misses_l2	misses_l3	misses_l4plus	cache_dead_files	cache_dead_blocks	cache_dead_bytes	cache_retired_tables	warm_files	warm_blocks	warm_bytes	warm_hits	warm_hit_frac	warm_skipped_disabled	warm_skipped_level	warm_skipped_budget	warm_skipped_affinity	warm_skipped_gone	warm_skipped_built	warm_dropped	s3_get	s3_head	s3_put	s3_list	s3_delete	s3_other	s3_bytes_in	s3_bytes_out	get_per_op	get_per_miss	put_per_op	put_per_write	s3_get_rate_steady	s3_put_rate_steady	s3_bytes_out_rate_steady	steady_window_s	get_per_op_steady	h_steady	du_corfu_kb	du_corfu_delta_kb	du_minio_kb	du_minio_delta_kb	du_cassandra_kb	du_cassandra_delta_kb	bucket_bytes	checkpoint_bytes	client_user_s	client_sys_s	client_cpu_s_per_op	client_rss_max_kb	replay_entries	replay_ms	replay_stream_mb	replay_live_files	replay_live_mb	restore_files	restore_live_mb	join_gets	ckpt_count	ckpt_files_mean	ckpt_objects	ckpt_live_mb_mean	ckpt_upload_ms_mean	ack_fast	ack_slow	server_cpu_corfu_s	server_cpu_minio_s	server_cpu_cassandra_s	server_cpu_s_per_op	server_nproc	server_elapsed_s	server_busy_frac	notes
local	cassandra-quorum	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	26	36706.5																																																																								80.05	39.71	0.0001198	1105152									0					0	0								no_server_sample
local	cassandra-quorum	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	220	42826.2																																														0	0	0	0	0	0	0	0	0.0		0.0	0.0							4	0	224	-11800528	12715364	12714536			315.44	311.53	6.27e-05	1440512									0					0	0	0.0	3.6	1363.0	0.0001367	32	240	0.1941	
local	ozonedb-corfu	load	8	8	0	1000000	1024000000	1000000	0	1000000	0	109	9634.0	0	0		536870912	0.524288																																									100	49	46	1	24	2	2305687603	1000024259	0.00015		4.7e-05	4.7e-05	1.57	0.549	11262152	51	0.00016		157252	157216	3495956	2324044	10675544	0	1292358689	77084518	612.0	214.46	0.0008265	3662156	3639	781	4.1	0.9	4.0				4	3.8	23	38.2	346	1000708	0	284.3	12.9	0.0	0.0002973	32	120	0.0852	
local	ozonedb-corfu	load	8	8	0	10000000	10240000000	10000000	0	10000000	0	1063	9627.2	0	0		536870912	0.0524288																																									320370	564	508	1	408	2	34889801977	21108531674	0.03209		5.1e-05	5.1e-05	289.15	0.533	19023584	60	0.03003		174948	174912	12295108	10904816	1187840	0	12065322600	103987846	5049.78	1935.08	0.0006985	5009588	19807	4295	22.8	1.5	13.8				36	4.2	222	55.1	454	10013519	0	3258.1	615.2	0.0	0.0003873	32	1120	0.1139	
disk-20260829-long	ozonedb-corfu-lru512m-dc2g	a	8	8	1	1000000	1024000000	2200494	1100613	1099881	0	601	3603.8	295077	1171246	0.20124	536870912	0.524288	1167927	4985	0.99575	6554620137	332380983	281	22311074432	487	0.00022	2	144	163	16560740890	17179869184	2.097152	0.99661	90108	204969	0	0	304344	866902	0	0	0	0	0	16	0	0	0	0		416	0	0	0	0	0	0	5681	655	82	237	62	2	2298633954	22694676275	0.00288	0.0054	0.000145	0.00029	5.63	0.176	28084992	51	0.00156	0.42288	102532	-65784	2229036	996128	10675544	0	2132106279	69188186	1298.51	779.67	0.0009444	4134000	1	183	0.0	3.0	6.0	3.0	6.0	5.0	10	3.9	59	51.8	414	1100544	0	1131.0	40.2	0.0	0.0005322	32	600	0.0609	
disk-20260829-long	ozonedb-corfu-lru8m-dc128m	c	8	8	1	1000000	1024000000	3835188	3835188	0	0	600	6373.6	884002	2937308	0.23133	8388608	0.008192	171892	2765816	0.05851	826202371	13427104043	16719	1192241608444	33438	0.00872	16711	0	8	568248461	1073741824	0.131072	0.2763	86152	797850	0	0	516452	2420856	0	0	0	0	0	0	0	0	0	0		192	0	0	0	0	0	0	2778466	52271	0	5	0	2	0	1196476702704	0.7381	0.9637	1e-06		4823.67	0.0	2038094544	60	0.75682	0.21469	1192	-167124	1239376	-40736	10675544	0	1224921275	12772222	1645.72	4628.75	0.001636	626344	1	181	0.0	3.0	6.0	3.0	6.0	5.0	1	3.0	5	6.0	69	0	0	337.7	4087.2	0.0	0.0011538	32	600	0.2305	
disk-20260829-long	ozonedb-corfu-lru8m-dc256m	c	8	8	1	1000000	1024000000	4023436	4023436	0	0	600	6646.2	926101	3082829	0.23101	8388608	0.008192	421035	2662194	0.13656	2023461981	12929237532	9885	1199028205857	26701	0.00664	9874	0	11	1357405742	2147483648	0.262144	0.33602	89795	836306	0	0	540667	2542162	0	0	0	0	0	0	0	0	0	0		192	0	0	0	0	0	0	2668742	9932	0	5	0	2	0	1202252121906	0.66577	0.8689	1e-06		4550.07	0.0	2027615798	60	0.68461	0.2121	1192	-167124	1239232	-28	10675544	0	1224921275	12772222	1637.47	4646.45	0.0015618	644704	1	179	0.0	3.0	6.0	3.0	6.0	5.0	1	3.0	5	6.0	72	0	0	351.0	3964.9	0.0	0.0010727	32	600	0.2248	
disk-20260829-long	ozonedb-corfu-lru8m-dc2g	a	8	8	1	1000000	1024000000	2210920	1104016	1106904	0	600	3702.1	14277	1458655	0.00969	8388608	0.008192	1455274	5014	0.99657	7935984092	328119471	277	22216896186	485	0.00022	1	144	160	16496584112	17179869184	2.097152	0.9966	9030	5247	0	0	386140	1072515	0	0	0	0	0	16	0	0	0	0		416	0	0	0	0	0	0	5551	655	82	5	62	2	2323885358	22596115532	0.00281	0.0043	3.9e-05	7.9e-05	4.55	0.15	23835423	60	0.00123	0.4215	99256	-69060	2702600	1422544	10675544	0	2148236036	86163022	1302.83	770.84	0.0009379	3430116	1	185	0.0	3.0	6.0	3.0	6.0	5.0	10	3.9	59	55.2	508	1107553	0	1113.3	40.0	0.0	0.0005217	32	600	0.0601	
disk-20260829-long	ozonedb-corfu-lru8m-dc2g	c	8	8	1	1000000	1024000000	27878054	27878054	0	0	600	46741.3	6420590	21355860	0.23115	8388608	0.008192	21342272	13988	0.99935	102568484041	202270895	80	9697192424	216	1e-05	0	0	80	9697192424	17179869184	2.097152	0.9995	623796	5796794	0	0	3752131	17603729	0	0	0	0	0	0	0	0	0	0		192	0	0	0	0	0	0	14247	203	0	5	0	2	0	9950556629	0.00052	0.0007	0.0		688.1	0.238	473836030	21	0.01472	0.0	1192	-167124	1239184	6028	10675544	0	1224921275	12772222	2224.99	1215.16	0.0001234	1222240	1	179	0.0	3.0	6.0	3.0	6.0	5.0	1	3.0	5	6.0	69	0	0	1309.8	26.8	0.0	4.79e-05	32	604	0.0696	
disk-20260829-long	ozonedb-corfu-lru8m-dc2g-kp	c	8	8	1	1000000	1024000000	30477998	30477998	0	0	600	50665.0	7026093	23340292	0.23138	8388608	0.008192	23326322	14370	0.99938	112103661703	204108477	80	9697192424	216	1e-05	0	0	80	9697192424	17179869184	2.097152	0.99952	681830	6344263	0	0	4101253	19239039	0	0	0	0	0	0	0	0	0	0		192	0	0	0	0	0	0	14629	203	0	5	0	2	0	9952394205	0.00049	0.0006	0.0		741.6	0.25	497619710	20	0.01464	0.0	1192	-167124	1239232	-40728	10675544	0	1224921275	12772222	2371.13	1236.72	0.0001184	1214636	1	182	0.0	3.0	6.0	3.0	6.0	5.0	1	3.0	5	6.0	70	0	0	1360.3	26.9	0.0	4.55e-05	32	600	0.0723	
