label	workload	writers	have	steady_ops_per_sec	failed	run_seconds
cassandra-serial	a	4	4	8172.8	0	92
cassandra-serial	a	7	7	12423.0	0	92
cassandra-serial	a	14	14	18946.3	0	92
cassandra-serial	b	4	4	9403.2	0	92
cassandra-serial	b	7	7	14732.0	0	92
cassandra-serial	b	14	14	23217.9	0	92
cassandra-serial	c	4	4	9501.7	0	92
cassandra-serial	c	7	7	15144.4	0	92
cassandra-serial	c	14	14	23939.1	0	92
cassandra-serial	d	4	4	12228.1	0	92
cassandra-serial	d	7	7	20388.2	0	92
cassandra-serial	d	14	14	35854.3	0	92
cassandra-serial	f	4	4	5630.4	0	92
cassandra-serial	f	7	7	8912.2	0	92
cassandra-serial	f	14	14	13999.0	0	92
ozonedb-corfu-linearizable	a	2	2	1431.3	0	180
ozonedb-corfu-linearizable	a	4	4	2057.2	0	180
ozonedb-corfu-linearizable	a	7	7	2807.6	0	180
ozonedb-corfu-linearizable	a	14	14	3875.8	0	180
ozonedb-corfu-linearizable	b	2	2	2450.2	0	180
ozonedb-corfu-linearizable	b	4	4	4090.7	0	180
ozonedb-corfu-linearizable	b	7	7	5837.6	0	180
ozonedb-corfu-linearizable	b	14	14	9002.5	0	180
ozonedb-corfu-linearizable	c	2	2	3206.9	0	181
ozonedb-corfu-linearizable	c	4	4	6360.7	0	180
ozonedb-corfu-linearizable	c	7	7	10638.0	0	180
ozonedb-corfu-linearizable	c	14	14	20338.5	0	180
ozonedb-corfu-linearizable	d	2	2	4432.4	0	180
ozonedb-corfu-linearizable	d	4	4	6569.7	0	180
ozonedb-corfu-linearizable	d	7	7	8770.6	0	180
ozonedb-corfu-linearizable	d	14	14	12306.5	0	180
ozonedb-corfu-linearizable	f	2	2	1218.2	0	180
ozonedb-corfu-linearizable	f	4	4	1654.1	0	180
ozonedb-corfu-linearizable	f	7	7	2183.1	0	180
ozonedb-corfu-linearizable	f	14	14	3112.0	0	180
