system,workload,threads,n_repeats,throughput_mean,throughput_stddev,rel_stddev_pct,max_rss_kb_mean,bytes_written_mean,failures
ozonedb,a,1,1,7151.93,,,4820216,8205754368,
ozonedb,b,1,1,15803.01,,,6628456,1382277120,
ozonedb,c,1,1,16572.23,,,6628860,347918336,
ozonedb,d,1,1,25211.15,,,4973216,4305215488,
ozonedb,f,1,1,6597.23,,,4609324,7664570368,
rocksdb,a,1,1,8722.01,,,205324,5721829376,
rocksdb,b,1,1,26659.3,,,200600,2645131264,
rocksdb,c,1,1,37746.8,,,162160,1223266304,
rocksdb,d,1,1,46850.5,,,203604,3990740992,
rocksdb,f,1,1,8488.21,,,205608,5939015680,
trunkcpp,a,1,1,7449.99,,,156036,7897042944,
trunkcpp,b,1,1,25178.3,,,152736,3403927552,
trunkcpp,c,1,1,33944.5,,,151204,213143552,
trunkcpp,d,1,1,30176.0,,,156792,6420516864,
trunkcpp,f,1,1,7380.0,,,156012,7939858432,
bcw2,a,1,1,7379.18,,,159728,8030896128,
bcw2,b,1,1,25043.3,,,153808,3166064640,
bcw2,c,1,1,34894.5,,,151360,14295040,
bcw2,d,1,1,29313.3,,,160740,6287532032,
bcw2,f,1,1,7145.88,,,159240,7880667136,
hctree,a,1,1,30564.9,,,1406040,25878302720,
hctree,b,1,1,102953.0,,,1406056,22360641536,
hctree,c,1,1,159421.0,,,1400436,634880,
hctree,d,1,1,102984.0,,,2238016,5334233088,
hctree,f,1,1,27760.6,,,1406028,24732119040,
