trial_id,vary,n_writers,abort_rate,record_count,setup_ok,completion_time_s,completed,n_pending_after_completion,n_tasks_total,n_tasks_completed,n_tasks_with_reassignment,max_generation_observed,generation_distribution,integrity_pass,integrity_keys_ok,integrity_keys_total,notes
varyR_n4_r1pct_rep1,abort,4,0.01,1000000,true,64.166131961,true,0,888,888,10,1,0:878;1:10,true,1000000,1000000,
varyR_n4_r1pct_rep2,abort,4,0.01,1000000,true,71.371098677,true,0,919,919,9,1,0:910;1:9,true,1000000,1000000,
varyR_n4_r1pct_rep3,abort,4,0.01,1000000,true,71.364121845,true,0,908,908,7,1,0:901;1:7,true,1000000,1000000,
varyR_n4_r1pct_rep4,abort,4,0.01,1000000,true,57.962981515,true,0,846,846,4,1,0:842;1:4,true,1000000,1000000,
varyR_n4_r1pct_rep5,abort,4,0.01,1000000,true,52.83302924,true,0,843,843,14,1,0:829;1:14,true,1000000,1000000,
varyR_n4_r5pct_rep1,abort,4,0.05,1000000,true,44.613593864,true,0,760,760,48,2,0:712;1:47;2:1,true,1000000,1000000,
varyR_n4_r5pct_rep2,abort,4,0.05,1000000,true,54.903186704,true,0,887,887,40,1,0:847;1:40,false,989310,1000000,
varyR_n4_r5pct_rep3,abort,4,0.05,1000000,true,61.083107895,true,0,894,894,50,2,0:844;1:46;2:4,true,1000000,1000000,
varyR_n4_r5pct_rep4,abort,4,0.05,1000000,true,49.753883413,true,0,825,825,42,2,0:783;1:38;2:4,true,1000000,1000000,
varyR_n4_r5pct_rep5,abort,4,0.05,1000000,true,50.789585773,true,0,822,822,42,2,0:780;1:38;2:4,true,1000000,1000000,
varyR_n4_r10pct_rep1,abort,4,0.1,1000000,true,49.764446269,true,0,821,821,83,2,0:738;1:73;2:10,true,1000000,1000000,
varyR_n4_r10pct_rep2,abort,4,0.1,1000000,true,50.80856752,true,0,826,826,83,3,0:743;1:76;2:5;3:2,true,1000000,1000000,
varyR_n4_r10pct_rep3,abort,4,0.1,1000000,true,55.916324798,true,0,847,847,109,2,0:738;1:100;2:9,false,989362,1000000,
varyR_n4_r10pct_rep4,abort,4,0.1,1000000,true,49.760749082,true,0,824,824,80,3,0:744;1:72;2:7;3:1,true,1000000,1000000,
varyR_n4_r10pct_rep5,abort,4,0.1,1000000,true,81.57744375,true,0,932,932,80,5,0:852;1:73;2:5;3:1;5:1,true,1000000,1000000,
varyR_n4_r25pct_rep1,abort,4,0.25,1000000,true,58.926623791,true,0,835,835,217,6,0:618;1:164;2:37;3:15;6:1,true,1000000,1000000,
varyR_n4_r25pct_rep2,abort,4,0.25,1000000,true,51.849074913,true,0,790,790,187,5,0:603;1:142;2:27;3:16;4:1;5:1,true,1000000,1000000,
varyR_n4_r25pct_rep3,abort,4,0.25,1000000,true,52.827689145,true,0,800,800,221,5,0:579;1:168;2:39;3:9;4:3;5:2,true,1000000,1000000,
varyR_n4_r25pct_rep4,abort,4,0.25,1000000,true,80.537908549,true,0,897,897,206,4,0:691;1:159;2:37;3:9;4:1,false,989424,1000000,
varyR_n4_r25pct_rep5,abort,4,0.25,1000000,true,82.534282569,true,0,892,892,228,4,0:664;1:178;2:42;3:4;4:4,false,962544,1000000,
varyR_n4_r50pct_rep1,abort,4,0.5,1000000,true,81.569014765,true,0,764,764,379,11,0:385;1:204;2:82;3:46;4:25;5:11;6:6;7:4;11:1,true,1000000,1000000,
varyR_n4_r50pct_rep2,abort,4,0.5,1000000,true,79.463941024,true,0,757,757,378,8,0:379;1:195;2:86;3:47;4:24;5:7;6:12;7:4;8:3,true,1000000,1000000,
varyR_n4_r50pct_rep3,abort,4,0.5,1000000,true,95.931310818,true,0,840,840,432,10,0:408;1:223;2:94;3:53;4:38;5:6;6:9;7:4;8:1;9:2;10:2,false,988385,1000000,
varyR_n4_r50pct_rep4,abort,4,0.5,1000000,true,132.107124751,true,0,886,886,435,10,0:451;1:222;2:115;3:47;4:22;5:14;6:10;7:2;9:2;10:1,false,963161,1000000,
varyR_n4_r50pct_rep5,abort,4,0.5,1000000,true,78.433912349,true,0,808,808,384,8,0:424;1:184;2:102;3:49;4:22;5:13;6:7;7:4;8:3,true,1000000,1000000,
